//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/iOSSupport/System/Library/AccessibilityBundles/MobileSafariFramework.axbundle/Contents/MacOS/MobileSafariFramework
// arch:    arm64e
// uuid:    171B6563-14B9-3A94-AB3C-C638DF2D7CA3
// text:    0x0000000287314000
// count:   722 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000002873175a8  0x00000008  __TEXT,__text  objc  -[CapsuleTabGroupViewAccessibility _accessibilityScrollToVisible]  // -[CapsuleTabGroupViewAccessibility ?]
0x00000002873175b0  0x0000009c  __TEXT,__text  objc  -[CapsuleTabGroupViewAccessibility accessibilityTraits]  // -[CapsuleTabGroupViewAccessibility ?]
0x000000028731764c  0x000000b4  __TEXT,__text  objc  -[CapsuleTabGroupViewAccessibility accessibilityLabel]  // -[CapsuleTabGroupViewAccessibility __PKApplyRadioCellAccessibility_super]
0x0000000287317700  0x00000304  __TEXT,__text  objc  -[CapsuleTabGroupViewAccessibility accessibilityScroll:]  // -[CapsuleTabGroupViewAccessibility ?]
0x0000000287317a04  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x0000000287317a14  0x00000008  __TEXT,__text  func  __Block_byref_object_dispose_
0x0000000287317a1c  0x00000080  __TEXT,__text  func  __56-[CapsuleTabGroupViewAccessibility accessibilityScroll:]_block_invoke
0x0000000287317a9c  0x0000000c  __TEXT,__text  func  __56-[CapsuleTabGroupViewAccessibility accessibilityScroll:]_block_invoke_2
0x0000000287317aa8  0x000000dc  __TEXT,__text  func  __56-[CapsuleTabGroupViewAccessibility accessibilityScroll:]_block_invoke_3
0x0000000287317b84  0x00000008  __TEXT,__text  objc  -[CapsuleTabGroupViewAccessibility _accessibilityShouldIncludeRowRangeInElementDescription]  // -[CapsuleTabGroupViewAccessibility ?]
0x0000000287317b8c  0x00000084  __TEXT,__text  objc  -[CapsuleTabGroupViewAccessibility accessibilityRowRange]  // -[CapsuleTabGroupViewAccessibility ?]
0x0000000287317c10  0x000000bc  __TEXT,__text  objc  -[CapsuleTabGroupViewAccessibility _accessibilityAllTabGroups]  // -[CapsuleTabGroupViewAccessibility ?]
0x0000000287317ccc  0x00000028  __TEXT,__text  func  __62-[CapsuleTabGroupViewAccessibility _accessibilityAllTabGroups]_block_invoke
0x0000000287317cf4  0x000000a8  __TEXT,__text  objc  -[CapsuleTabGroupViewAccessibility _accessibilityCapsuleCollectionView]  // -[CapsuleTabGroupViewAccessibility ?]
0x0000000287317d9c  0x000000fc  __TEXT,__text  objc  -[CapsuleTabGroupViewAccessibility _accessibilityIndexOfSelfIn:]  // -[CapsuleTabGroupViewAccessibility ?]
0x0000000287317e98  0x00000008  __TEXT,__text  objc  -[CapsuleTabGroupViewAccessibility _accessibilityIsScrollable]  // -[CapsuleTabGroupViewAccessibility ]
0x0000000287317ea0  0x000000b8  __TEXT,__text  objc  -[CapsuleTabGroupViewAccessibility _axIsInteractionEnabled]  // -[CapsuleTabGroupViewAccessibility ?]
0x0000000287317f58  0x0000000c  __TEXT,__text  objc  +[SFStepperAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[SFStepperAccessibility isUserInteractionEnabled]
0x0000000287317f64  0x0000000c  __TEXT,__text  objc  +[SFStepperAccessibility(SafeCategory) safeCategoryBaseClass]  // +[SFStepperAccessibility ?]
0x0000000287317f70  0x000000b8  __TEXT,__text  objc  +[SFStepperAccessibility _accessibilityPerformValidations:]  // +[SFStepperAccessibility ?]
0x0000000287318028  0x000000dc  __TEXT,__text  objc  -[SFStepperAccessibility _accessibilityLoadAccessibilityInformation]  // -[SFStepperAccessibility A]
0x0000000287318104  0x00000004  __TEXT,__text  objc  -[SFStepperAccessibility isAccessibilityElement]  // -[SFStepperAccessibility ?]
0x0000000287318108  0x0000000c  __TEXT,__text  objc  -[SFStepperAccessibility accessibilityLabel]  // -[SFStepperAccessibility __PKDiscoveryCardViewAccessibility_super]
0x0000000287318114  0x00000010  __TEXT,__text  objc  -[SFStepperAccessibility accessibilityTraits]  // -[SFStepperAccessibility ?]
0x0000000287318124  0x000000a4  __TEXT,__text  objc  -[SFStepperAccessibility accessibilityIncrement]  // -[SFStepperAccessibility ?]
0x00000002873181c8  0x000000a4  __TEXT,__text  objc  -[SFStepperAccessibility accessibilityDecrement]  // -[SFStepperAccessibility ?]
0x000000028731826c  0x0000000c  __TEXT,__text  objc  -[SFStepperAccessibility setText:forButton:]  // -[SFStepperAccessibility ?]
0x0000000287318278  0x0000000c  __TEXT,__text  objc  +[TabOverviewItemViewAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[TabOverviewItemViewAccessibility keyplaneNamed:]
0x0000000287318284  0x0000000c  __TEXT,__text  objc  +[TabOverviewItemViewAccessibility(SafeCategory) safeCategoryBaseClass]  // +[TabOverviewItemViewAccessibility ?]
0x0000000287318290  0x000001e8  __TEXT,__text  objc  +[TabOverviewItemViewAccessibility _accessibilityPerformValidations:]  // +[TabOverviewItemViewAccessibility ?]
0x0000000287318478  0x000000b4  __TEXT,__text  objc  -[TabOverviewItemViewAccessibility _accessibilityLoadAccessibilityInformation]  // -[TabOverviewItemViewAccessibility ?]
0x000000028731852c  0x00000008  __TEXT,__text  objc  -[TabOverviewItemViewAccessibility isAccessibilityElement]  // -[TabOverviewItemViewAccessibility ?]
0x0000000287318534  0x00000340  __TEXT,__text  objc  -[TabOverviewItemViewAccessibility accessibilityCustomActions]  // -[TabOverviewItemViewAccessibility  ]
0x0000000287318874  0x00000064  __TEXT,__text  func  __62-[TabOverviewItemViewAccessibility accessibilityCustomActions]_block_invoke
0x00000002873188d8  0x0000007c  __TEXT,__text  func  __62-[TabOverviewItemViewAccessibility accessibilityCustomActions]_block_invoke_2
0x0000000287318954  0x00000008  __TEXT,__text  objc  -[TabOverviewItemViewAccessibility _accessibilityMediaAnalysisOptions]  // -[TabOverviewItemViewAccessibility ?]
0x000000028731895c  0x000000e0  __TEXT,__text  objc  -[TabOverviewItemViewAccessibility _accessibilitySupplementaryFooterViews]  // -[TabOverviewItemViewAccessibility ]
0x0000000287318a3c  0x0000009c  __TEXT,__text  objc  -[TabOverviewItemViewAccessibility automationElements]  // -[TabOverviewItemViewAccessibility ?]
0x0000000287318ad8  0x00000150  __TEXT,__text  objc  -[TabOverviewItemViewAccessibility _accessibilityRowRange]  // -[TabOverviewItemViewAccessibility ?]
0x0000000287318c28  0x0000004c  __TEXT,__text  func  __58-[TabOverviewItemViewAccessibility _accessibilityRowRange]_block_invoke
0x0000000287318c74  0x00000074  __TEXT,__text  objc  -[TabOverviewItemViewAccessibility accessibilityTraits]  // -[TabOverviewItemViewAccessibility ?]
0x0000000287318ce8  0x00000090  __TEXT,__text  objc  -[TabOverviewItemViewAccessibility accessibilityHint]  // -[TabOverviewItemViewAccessibility ?]
0x0000000287318d78  0x00000038  __TEXT,__text  objc  -[TabOverviewItemViewAccessibility _accessibilityScrollToVisible]  // -[TabOverviewItemViewAccessibility ?]
0x0000000287318db0  0x00000104  __TEXT,__text  objc  -[TabOverviewItemViewAccessibility accessibilityLabel]  // -[TabOverviewItemViewAccessibility PKAddPaymentPassDevicePickerViewControllerAccessibility]
0x0000000287318eb4  0x0000000c  __TEXT,__text  objc  +[PopUpCellAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[PopUpCellAccessibility insertSections:withRowAnimation:]
0x0000000287318ec0  0x0000000c  __TEXT,__text  objc  +[PopUpCellAccessibility(SafeCategory) safeCategoryBaseClass]  // +[PopUpCellAccessibility ?]
0x0000000287318ecc  0x00000098  __TEXT,__text  objc  +[PopUpCellAccessibility _accessibilityPerformValidations:]  // +[PopUpCellAccessibility ]
0x0000000287318f64  0x00000010  __TEXT,__text  objc  -[PopUpCellAccessibility accessibilityTraits]  // -[PopUpCellAccessibility ?]
0x0000000287318f74  0x0000000c  __TEXT,__text  objc  -[PopUpCellAccessibility accessibilityLabel]  // -[PopUpCellAccessibility PKPassTileViewAccessibility]
0x0000000287318f80  0x000001f8  __TEXT,__text  objc  -[PopUpCellAccessibility accessibilityValue]  // -[PopUpCellAccessibility ?]
0x0000000287319178  0x0000000c  __TEXT,__text  objc  +[TabOverviewLargeTitleViewAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[TabOverviewLargeTitleViewAccessibility lastPathComponent]
0x0000000287319184  0x0000000c  __TEXT,__text  objc  +[TabOverviewLargeTitleViewAccessibility(SafeCategory) safeCategoryBaseClass]  // +[TabOverviewLargeTitleViewAccessibility ?]
