//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/AppleScript.framework/Versions/A/AppleScript
// arch:    arm64e
// uuid:    1D5D8FFA-4332-3D73-A19A-5A903209470B
// text:    0x0000000234d23000
// count:   2405 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000234d2c48c  0x00000070  __TEXT,__text  cxx  __Z8ASCopyIDjPj  // ASCopyID(unsigned int, unsigned int*)
0x0000000234d2c4fc  0x0000008c  __TEXT,__text  cxx  __Z17ASDuplicateScriptjPj  // ASDuplicateScript(unsigned int, unsigned int*)
0x0000000234d2c588  0x000000f4  __TEXT,__text  cxx  __Z24ASScriptingComponentNameP6AEDesc  // ASScriptingComponentName(AEDesc*)
0x0000000234d2c67c  0x000000c0  __TEXT,__text  cxx  __Z15ASSetScriptInfojjl  // ASSetScriptInfo(unsigned int, unsigned int, long)
0x0000000234d2c73c  0x00000164  __TEXT,__text  cxx  __Z14UASGetBestType14TUASClassIndexP9TUASValuePj  // UASGetBestType(TUASClassIndex, TUASValue*, unsigned int*)
0x0000000234d2c8a0  0x000002f8  __TEXT,__text  cxx  __Z15ASGetScriptInfojjPl  // ASGetScriptInfo(unsigned int, unsigned int, long*)
0x0000000234d2cb98  0x00000210  __TEXT,__text  cxx  __Z16ASCompileCommandv  // ASCompileCommand()
0x0000000234d2cda8  0x0000036c  __TEXT,__text  cxx  __Z9ASCompilePK6AEDesciPj  // ASCompile(AEDesc const*, int, unsigned int*)
0x0000000234d2d114  0x00000100  __TEXT,__text  cxx  __Z16ASCoerceFromDescPK6AEDesciPj  // ASCoerceFromDesc(AEDesc const*, int, unsigned int*)
0x0000000234d2d214  0x000000f8  __TEXT,__text  cxx  __Z14ASCoerceToDescjjiP6AEDesc  // ASCoerceToDesc(unsigned int, unsigned int, int, AEDesc*)
0x0000000234d2d30c  0x000000b4  __TEXT,__text  cxx  __Z19ASCopyDisplayStringjiPPK20__CFAttributedString  // ASCopyDisplayString(unsigned int, int, __CFAttributedString const**)
0x0000000234d2d3c0  0x00000190  __TEXT,__text  cxx  __ZL21ASStreamDisplayStringjiRNSt3__113basic_ostreamIcNS_11char_traitsIcEEEE  // ASStreamDisplayString(unsigned int, int, std::__1::basic_ostream<char, std::__1::char_traits<char>>&)
0x0000000234d2d550  0x00000038  __TEXT,__text  cxx  __ZN14CoreFoundation23oattributedstringstreamD1Ev  // CoreFoundation::oattributedstringstream::~oattributedstringstream()
0x0000000234d2d588  0x00000018  __TEXT,__text  cxx  __Z9ASDisplayjjiP6AEDesc  // ASDisplay(unsigned int, unsigned int, int, AEDesc*)
0x0000000234d2d5a0  0x000002d0  __TEXT,__text  cxx  __ZL18CreateScriptStringjjiPFijiRNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEEP6AEDesc  // CreateScriptString(unsigned int, unsigned int, int, int (*)(unsigned int, int, std::__1::basic_ostream<char, std::__1::char_traits<char>>&), AEDesc*)
0x0000000234d2d870  0x000000b4  __TEXT,__text  cxx  __Z18ASCopySourceStringjiPPK20__CFAttributedString  // ASCopySourceString(unsigned int, int, __CFAttributedString const**)
0x0000000234d2d924  0x00000388  __TEXT,__text  cxx  __ZL20ASStreamSourceStringjiRNSt3__113basic_ostreamIcNS_11char_traitsIcEEEE  // ASStreamSourceString(unsigned int, int, std::__1::basic_ostream<char, std::__1::char_traits<char>>&)
0x0000000234d2dcac  0x00000030  __TEXT,__text  cxx  __Z11ASGetSourcejjP6AEDesc  // ASGetSource(unsigned int, unsigned int, AEDesc*)
0x0000000234d2dcdc  0x00000074  __TEXT,__text  cxx  __Z19SendRecordedCommandP6AEDesc  // SendRecordedCommand(AEDesc*)
0x0000000234d2dd50  0x00000230  __TEXT,__text  cxx  __Z22SendUnparsedExpressionP15TUASApplicationP11TUASCommandh  // SendUnparsedExpression(TUASApplication*, TUASCommand*, unsigned char)
0x0000000234d2df80  0x00000120  __TEXT,__text  cxx  __ZNSt3__119basic_ostringstreamIcNS_11char_traitsIcEENS_9allocatorIcEEED1Ev  // std::__1::basic_ostringstream<char, std::__1::char_traits<char>, std::__1::allocator<char>>::~basic_ostringstream()
0x0000000234d2e0a0  0x00000024  __TEXT,__text  cxx  __Z21ASRecordEventCallbackPK6AEDescPS_Pv  // ASRecordEventCallback(AEDesc const*, AEDesc*, void*)
0x0000000234d2e0c4  0x000000e0  __TEXT,__text  cxx  __Z29UASPushTellActivateExpressionP36TStackFrame_UASAppendRecordingScript  // UASPushTellActivateExpression(TStackFrame_UASAppendRecordingScript*)
0x0000000234d2e1a4  0x0000018c  __TEXT,__text  cxx  __Z24UASAppendRecordingScriptv  // UASAppendRecordingScript()
0x0000000234d2e330  0x0000010c  __TEXT,__text  cxx  __Z17SetRecordingStatej  // SetRecordingState(unsigned int)
0x0000000234d2e43c  0x00000120  __TEXT,__text  cxx  __Z16ASStartRecordingPj  // ASStartRecording(unsigned int*)
0x0000000234d2e55c  0x0000011c  __TEXT,__text  cxx  __Z15ASStopRecordingj  // ASStopRecording(unsigned int)
0x0000000234d2e678  0x00000168  __TEXT,__text  cxx  __ZL19SetRecordingAddressP15TUASApplicationPK6AEDesc  // SetRecordingAddress(TUASApplication*, AEDesc const*)
0x0000000234d2e7e0  0x00000284  __TEXT,__text  cxx  __Z13ASRecordEventPK6AEDesc  // ASRecordEvent(AEDesc const*)
0x0000000234d2ea64  0x00000084  __TEXT,__text  cxx  __Z13ASLoadExecutePK6AEDescjiPj  // ASLoadExecute(AEDesc const*, unsigned int, int, unsigned int*)
0x0000000234d2eae8  0x00000084  __TEXT,__text  cxx  __Z16ASCompileExecutePK6AEDescjiPj  // ASCompileExecute(AEDesc const*, unsigned int, int, unsigned int*)
0x0000000234d2eb6c  0x000000bc  __TEXT,__text  cxx  __Z10ASDoScriptPK6AEDescjjiPS_  // ASDoScript(AEDesc const*, unsigned int, unsigned int, int, AEDesc*)
0x0000000234d2ec28  0x0000002c  __TEXT,__text  cxx  __Z13ASSetSendProcPFsPK6AEDescPS_isiPFhP11EventRecordPiPP15OpaqueRgnHandleEPFhS4_iiS1_EPvESD_  // ASSetSendProc(short (*)(AEDesc const*, AEDesc*, int, short, int, unsigned char (*)(EventRecord*, int*, OpaqueRgnHandle**), unsigned char (*)(EventRecord*, int, int, AEDesc const*), void*), void*)
0x0000000234d2ec54  0x00000028  __TEXT,__text  cxx  __Z13ASGetSendProcPPFsPK6AEDescPS_isiPFhP11EventRecordPiPP15OpaqueRgnHandleEPFhS4_iiS1_EPvEPSD_  // ASGetSendProc(short (**)(AEDesc const*, AEDesc*, int, short, int, unsigned char (*)(EventRecord*, int*, OpaqueRgnHandle**), unsigned char (*)(EventRecord*, int, int, AEDesc const*), void*), void**)
0x0000000234d2ec7c  0x0000002c  __TEXT,__text  cxx  __Z15ASSetCreateProcPFsjjPK6AEDescsiPS_PvES3_  // ASSetCreateProc(short (*)(unsigned int, unsigned int, AEDesc const*, short, int, AEDesc*, void*), void*)
0x0000000234d2eca8  0x00000028  __TEXT,__text  cxx  __Z15ASGetCreateProcPPFsjjPK6AEDescsiPS_PvEPS3_  // ASGetCreateProc(short (**)(unsigned int, unsigned int, AEDesc const*, short, int, AEDesc*, void*), void**)
0x0000000234d2ecd0  0x0000002c  __TEXT,__text  cxx  __Z15ASSetActiveProcPFsPvES_  // ASSetActiveProc(short (*)(void*), void*)
0x0000000234d2ecfc  0x00000028  __TEXT,__text  cxx  __Z15ASGetActiveProcPPFsPvEPS_  // ASGetActiveProc(short (**)(void*), void**)
0x0000000234d2ed24  0x000000ec  __TEXT,__text  cxx  __Z18ASSetDefaultTargetPK6AEDesc  // ASSetDefaultTarget(AEDesc const*)
0x0000000234d2ee10  0x00000018  __TEXT,__text  cxx  __Z23ASSetResumeDispatchProcPFsPK6AEDescPS_PvES3_  // ASSetResumeDispatchProc(short (*)(AEDesc const*, AEDesc*, void*), void*)
0x0000000234d2ee28  0x00000028  __TEXT,__text  cxx  __Z23ASGetResumeDispatchProcPPFsPK6AEDescPS_PvEPS3_  // ASGetResumeDispatchProc(short (**)(AEDesc const*, AEDesc*, void*), void**)
0x0000000234d2ee50  0x00000354  __TEXT,__text  cxx  __Z33ASExecuteEvent_PushSendStackFramePK6AEDescPP9TUASActori  // ASExecuteEvent_PushSendStackFrame(AEDesc const*, TUASActor**, int)
0x0000000234d2f1a4  0x000000bc  __TEXT,__text  cxx  __Z16ASExecuteGetDataPj  // ASExecuteGetData(unsigned int*)
0x0000000234d2f260  0x000000b4  __TEXT,__text  cxx  __Z16ASExecuteSetDataPj  // ASExecuteSetData(unsigned int*)
0x0000000234d2f314  0x000000bc  __TEXT,__text  cxx  __Z14ASExecuteClonePj  // ASExecuteClone(unsigned int*)
0x0000000234d2f3d0  0x00000320  __TEXT,__text  cxx  __Z14ASExecuteEventPK6AEDescjiPj  // ASExecuteEvent(AEDesc const*, unsigned int, int, unsigned int*)
0x0000000234d2f6f0  0x00000314  __TEXT,__text  cxx  __Z9ASDoEventPK6AEDescjiPS_  // ASDoEvent(AEDesc const*, unsigned int, int, AEDesc*)
0x0000000234d2fa04  0x000001d8  __TEXT,__text  cxx  __Z18ASDescToIdentifierPK6AEDescRP14TUASIdentifier  // ASDescToIdentifier(AEDesc const*, TUASIdentifier*&)
0x0000000234d2fbdc  0x00000144  __TEXT,__text  cxx  __Z13ASMakeContextPK6AEDescjPj  // ASMakeContext(AEDesc const*, unsigned int, unsigned int*)
0x0000000234d2fd20  0x0000020c  __TEXT,__text  cxx  __Z11ASInitLocalimmmmmm  // ASInitLocal(int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)
0x0000000234d2ff2c  0x00000084  __TEXT,__text  cxx  __Z25AppleScriptPostCloseCheckPPc  // AppleScriptPostCloseCheck(char**)
0x0000000234d2ffb0  0x0000003c  __TEXT,__text  cxx  __Z13ASDefaultInitv  // ASDefaultInit()
0x0000000234d2ffec  0x00000078  __TEXT,__text  cxx  __Z22ASSetSourceStylesLocalPP9STElement  // ASSetSourceStylesLocal(STElement**)
0x0000000234d30064  0x00000074  __TEXT,__text  cxx  __Z22ASGetSourceStylesLocalPPP9STElement  // ASGetSourceStylesLocal(STElement***)
0x0000000234d300d8  0x00000058  __TEXT,__text  cxx  __Z27ASCopySourceAttributesLocalPPK9__CFArray  // ASCopySourceAttributesLocal(__CFArray const**)
0x0000000234d30130  0x00000054  __TEXT,__text  cxx  __Z26ASSetSourceAttributesLocalPK9__CFArray  // ASSetSourceAttributesLocal(__CFArray const*)
