//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/CoreCaptureDaemon.framework/Versions/A/CoreCaptureDaemon
// arch:    arm64e
// uuid:    D5EBEAD7-0014-3DDF-BAC9-D1CBB443B875
// text:    0x00000001e4b7b000
// count:   606 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x00000001e4b8dd3c  0x0000036c  __TEXT,__text  cxx  __ZN9CCLogFile17withRegistryEntryEj  // CCLogFile::withRegistryEntry(unsigned int)
0x00000001e4b8e0a8  0x00000278  __TEXT,__text  cxx  __ZN11CCFormatter17withRegistryEntryEj  // CCFormatter::withRegistryEntry(unsigned int)
0x00000001e4b8e320  0x000000bc  __TEXT,__text  cxx  __ZN15CCTextFormatter17withRegistryEntryEj  // CCTextFormatter::withRegistryEntry(unsigned int)
0x00000001e4b8e3dc  0x00000054  __TEXT,__text  cxx  __ZN18CCLogPipeInterface13freeResourcesEv  // CCLogPipeInterface::freeResources()
0x00000001e4b8e430  0x0000005c  __TEXT,__text  cxx  __ZN9CCLogFile17freeFilePathArrayEv  // CCLogFile::freeFilePathArray()
0x00000001e4b8e48c  0x00000114  __TEXT,__text  cxx  __ZN6CCFile13freeResourcesEv  // CCFile::freeResources()
0x00000001e4b8e5a0  0x00000084  __TEXT,__text  cxx  __ZN17CCPcapngFormatter17withRegistryEntryEj  // CCPcapngFormatter::withRegistryEntry(unsigned int)
0x00000001e4b8e624  0x00000fe4  __TEXT,__text  cxx  __ZN17CCPcapngFormatter27buildStreamToInterfaceTableEv  // CCPcapngFormatter::buildStreamToInterfaceTable()
0x00000001e4b8f608  0x00000068  __TEXT,__text  cxx  __ZN17CCPcapngFormatter19freeStreamNameArrayEv  // CCPcapngFormatter::freeStreamNameArray()
0x00000001e4b8f670  0x00000090  __TEXT,__text  cxx  __ZN21CCIOReporterFormatter17withRegistryEntryEj  // CCIOReporterFormatter::withRegistryEntry(unsigned int)
0x00000001e4b8f700  0x000007f8  __TEXT,__text  cxx  __ZN21CCIOReporterFormatter35addRegistryChildToChannelDictionaryEj  // CCIOReporterFormatter::addRegistryChildToChannelDictionary(unsigned int)
0x00000001e4b8fef8  0x00001274  __TEXT,__text  cxx  __ZN21CCIOReporterFormatter38shapeIOReportLibraryFriendlyDictionaryEv  // CCIOReporterFormatter::shapeIOReportLibraryFriendlyDictionary()
0x00000001e4b9116c  0x00000584  __TEXT,__text  cxx  __ZN21CCIOReporterFormatter48storeChannelDescriptionFromStreamAndSubscriptionEP14__CFDictionaryPK10__CFNumberS4_  // CCIOReporterFormatter::storeChannelDescriptionFromStreamAndSubscription(__CFDictionary*, __CFNumber const*, __CFNumber const*)
0x00000001e4b916f0  0x000017f4  __TEXT,__text  cxx  __ZN21CCIOReporterFormatter38storeChannelDescriptionFromDriverGroupEP14__CFDictionaryPKS0_  // CCIOReporterFormatter::storeChannelDescriptionFromDriverGroup(__CFDictionary*, __CFDictionary const*)
0x00000001e4b92ee4  0x00000060  __TEXT,__text  cxx  __ZN19CCIOReportDumpQueue19stopProcessorThreadEv  // CCIOReportDumpQueue::stopProcessorThread()
0x00000001e4b92f44  0x0000003c  __TEXT,__text  cxx  __ZN11CCConfigure19initWithPipeMonitorEP13CCPipeMonitor  // CCConfigure::initWithPipeMonitor(CCPipeMonitor*)
0x00000001e4b92f80  0x00000004  __TEXT,__text  cxx  __ZN11CCConfigureD1Ev  // CCConfigure::~CCConfigure()
0x00000001e4b92f84  0x00000028  __TEXT,__text  cxx  __ZN11CCConfigureC2Ev  // CCConfigure::CCConfigure()
0x00000001e4b92fac  0x00000028  __TEXT,__text  cxx  __ZN11CCConfigureC1Ev  // CCConfigure::CCConfigure()
0x00000001e4b92fd4  0x00000004  __TEXT,__text  cxx  __ZN11CCConfigureD2Ev  // CCConfigure::~CCConfigure()
0x00000001e4b92fd8  0x00000090  __TEXT,__text  cxx  __ZN11CCConfigure9configureEPK14__CFDictionaryPK10__CFStringS5_P11CCTimestamp  // CCConfigure::configure(__CFDictionary const*, __CFString const*, __CFString const*, CCTimestamp*)
0x00000001e4b93068  0x000007f8  __TEXT,__text  cxx  __ZN11CCConfigure18applyConfigurationEPK14__CFDictionaryP18CCConfigureContext  // CCConfigure::applyConfiguration(__CFDictionary const*, CCConfigureContext*)
0x00000001e4b93860  0x000000dc  __TEXT,__text  cxx  __ZN8CCDaemon11getInstanceEv  // CCDaemon::getInstance()
0x00000001e4b9393c  0x0000012c  __TEXT,__text  func  ___ZN8CCDaemon11getInstanceEv_block_invoke
0x00000001e4b93a68  0x00000220  __TEXT,__text  cxx  __ZN11CCConfigure36captureDictionaryCFDictionaryApplierEPKvS1_Pv  // CCConfigure::captureDictionaryCFDictionaryApplier(void const*, void const*, void*)
0x00000001e4b93c88  0x000006f0  __TEXT,__text  cxx  __ZN11CCConfigure35captureDirectoryCFDictionaryApplierEPKvS1_Pv  // CCConfigure::captureDirectoryCFDictionaryApplier(void const*, void const*, void*)
0x00000001e4b94378  0x00000250  __TEXT,__text  cxx  __ZN11CCConfigure16captureDirectoryEP18CCConfigureContextPKv  // CCConfigure::captureDirectory(CCConfigureContext*, void const*)
0x00000001e4b945c8  0x000001f8  __TEXT,__text  cxx  __ZL19_captureTapCallbackP5CCTapPv  // _captureTapCallback(CCTap*, void*)
0x00000001e4b947c0  0x00000214  __TEXT,__text  cxx  __ZN11CCConfigure28pipeOwnerCFDictionaryApplierEPKvS1_Pv  // CCConfigure::pipeOwnerCFDictionaryApplier(void const*, void const*, void*)
0x00000001e4b949d4  0x00000220  __TEXT,__text  cxx  __ZN11CCConfigure27pipePipeCFDictionaryApplierEPKvS1_Pv  // CCConfigure::pipePipeCFDictionaryApplier(void const*, void const*, void*)
0x00000001e4b94bf4  0x00000c18  __TEXT,__text  cxx  __ZN11CCConfigure32pipeConfigureCFDictionaryApplierEPKvS1_Pv  // CCConfigure::pipeConfigureCFDictionaryApplier(void const*, void const*, void*)
0x00000001e4b9580c  0x00000250  __TEXT,__text  cxx  __ZN11CCConfigure7captureEP18CCConfigureContextPKv  // CCConfigure::capture(CCConfigureContext*, void const*)
0x00000001e4b95a5c  0x000002c4  __TEXT,__text  cxx  __ZN11CCConfigure19configureLogOptionsEP18CCConfigureContextPKv  // CCConfigure::configureLogOptions(CCConfigureContext*, void const*)
0x00000001e4b95d20  0x00000218  __TEXT,__text  cxx  __ZN11CCConfigure13notifyTimeoutEP18CCConfigureContextPKv  // CCConfigure::notifyTimeout(CCConfigureContext*, void const*)
0x00000001e4b95f38  0x00000218  __TEXT,__text  cxx  __ZN11CCConfigure14watermarkLevelEP18CCConfigureContextPKv  // CCConfigure::watermarkLevel(CCConfigureContext*, void const*)
0x00000001e4b96150  0x00000218  __TEXT,__text  cxx  __ZN11CCConfigure6policyEP18CCConfigureContextPKv  // CCConfigure::policy(CCConfigureContext*, void const*)
0x00000001e4b96368  0x00000088  __TEXT,__text  cxx  __ZN11CCConfigure20getLogTapWithContextEP18CCConfigureContext  // CCConfigure::getLogTapWithContext(CCConfigureContext*)
0x00000001e4b963f0  0x00000240  __TEXT,__text  cxx  __ZN11CCConfigure23findTapWithOwnerAndPipeEP18CCConfigureContext  // CCConfigure::findTapWithOwnerAndPipe(CCConfigureContext*)
0x00000001e4b96630  0x000000bc  __TEXT,__text  cxx  __ZN11CCConfigure30streamOwnerCFDictionaryApplierEPKvS1_Pv  // CCConfigure::streamOwnerCFDictionaryApplier(void const*, void const*, void*)
